Part Number,ABC Class,Sales Date,Sales Quantity,Unit Cost,Unit Price,Marketing Spent,Discount Flag
Part_12010102,A,20120131,24122,0.29,1.25,894,0
Part_12010102,A,20120229,22100,0.29,0.92,302,1
Part_12010102,A,20120331,27145,0.26,1.14,465,0
Part_12010102,A,20120430,20510,0.29,1.14,693,0
Part_12010102,A,20120531,23265,0.29,0.97,687,1
Part_12010102,A,20120630,24461,0.29,1.14,840,0
Part_12010102,A,20120731,28805,0.29,0.91,398,1
Part_12010102,A,20120831,28284,0.26,0.93,398,1
Part_12010102,A,20120930,23812,0.29,1.14,407,0
Part_12010102,A,20121031,24976,0.26,1.14,429,0
Part_12010102,A,20121130,24443,0.29,0.91,669,1
Part_12010102,A,20121231,26336,0.29,1.22,969,0
Part_12010102,A,20130131,24572,0.29,1.17,870,0
Part_12010102,A,20130228,21355,0.29,0.93,302,1
Part_12010102,A,20130331,22145,0.29,1.14,381,0
Part_12010102,A,20130430,21662,0.29,1.14,747,0
Part_12010102,A,20130531,22628,0.29,1.19,816,0
Part_12010102,A,20130630,21955,0.29,1.14,762,0
Part_12010102,A,20130731,30663,0.26,0.91,419,1
Part_12010102,A,20130831,29362,0.29,0.91,405,1
Part_12010102,A,20130930,26435,0.29,1.14,456,0
Part_12010102,A,20131031,23252,0.29,1.23,425,0
Part_12010102,A,20131130,24030,0.29,1.14,834,0
Part_12010102,A,20131231,28890,0.26,1.14,996,0
Part_12010102,A,20140131,21776,0.29,1.21,789,0
Part_12010102,A,20140228,20236,0.26,0.91,276,1
Part_12010102,A,20140331,20521,0.26,0.91,279,1
Part_12010102,A,20140430,35244,0.29,1.16,1242,0
Part_12010102,A,20140531,16540,0.29,1.14,576,0
Part_12010102,A,20140630,21105,0.29,0.98,618,1
Part_12010102,A,20140731,24863,0.29,0.96,354,1
Part_12010102,A,20140831,24914,0.29,0.91,342,1
Part_12010102,A,20140930,23559,0.29,1.14,402,0
Part_12010102,A,20141031,23819,0.29,1.16,419,0
Part_12010102,A,20141130,22274,0.29,1.14,768,0
Part_12010102,A,20141231,26701,0.29,0.91,720,1
Part_12010102,A,20150131,20443,0.29,1.14,708,0
Part_12010102,A,20150228,17989,0.29,0.91,242,1
Part_12010102,A,20150331,20444,0.29,1.14,347,0
Part_12010102,A,20150430,18066,0.26,1.25,690,0
Part_11818187,C,20120131,66,3.25,8.55,18,0
Part_11818187,C,20120229,126,3.25,7.04,15,1
Part_11818187,C,20120331,101,3.25,8.55,15,0
Part_11818187,C,20120430,83,3.25,8.55,24,0
Part_11818187,C,20120531,116,3.25,8.55,33,0
Part_11818187,C,20120630,86,3.25,8.92,27,0
Part_11818187,C,20120731,97,3.25,6.84,11,1
Part_11818187,C,20120831,112,3.25,7.48,14,1
Part_11818187,C,20120930,98,3.25,9.31,17,0
